[AI ACCOUNTANT - EXPORT],,,,,,,,,,,
[Agent 2: LEDGER & MASTER DATA] ,,,,,,,,,,,
[Generated: 2026-07-31] ,,,,,,,,,,,

=== TABLE: CHART OF ACCOUNTS ===,,,,,,,,,,,
account_code,account_name,account_type,currency,is_active,created_at,,,,
1000-Cash,Cash on Hand,asset,PKR,1,2026-01-01,,,,
1100-Bank Account,Bank Account - HBL,asset,PKR,1,2026-01-01,,,,
1200-Inventory,Inventory Stock,asset,PKR,1,2026-01-01,,,,
1300-Receivables,Accounts Receivable,asset,PKR,1,2026-01-01,,,,
2000-Payables,Accounts Payable,liability,PKR,1,2026-01-01,,,,
3000-Equity,Owner's Equity,equity,PKR,1,2026-01-01,,,,
4000-Revenue,Sales Revenue,revenue,PKR,1,2026-01-01,,,,
5000-COGS,Cost of Goods Sold,expense,PKR,1,2026-01-01,,,,
6000-Rent,Office Rent,expense,PKR,1,2026-01-01,,,,
6100-Salary,Salaries & Wages,expense,PKR,1,2026-01-01,,,,

=== TABLE: JOURNAL ENTRIES ===,,,,,,,,,,,
entry_id,posted_date,description,reference,contact_id,debit_account,debit_amount,credit_account,credit_amount,status,
JE-202607-001,2026-07-01,Office Rent July 2026,,,6000-Rent,65000.00,1100-Bank Account,65000.00,posted,
JE-202607-002,2026-07-10,Sales Revenue - RetailMart,INV-045,CONT-002,1100-Bank Account,250000.00,4000-Revenue,250000.00,posted,
JE-202607-003,2026-07-12,Purchase Inventory,PO-101,CONT-001,1200-Inventory,180000.00,2000-Payables,180000.00,posted,
JE-202607-004,2026-07-28,Salary Disbursement July,,,6100-Salary,450000.00,1100-Bank Account,450000.00,posted,
TOTAL,,,,,,,,945000.00,945000.00,

=== TABLE: CONTACTS ===,,,,,,,,,,,
contact_id,contact_name,contact_type,phone,email,address,tax_id,related_party,created_at,,
CONT-001,TechSolutions Pvt Ltd,vendor,021-34920001,info@techsolutions.pk,Karachi,NTN-1234567-1,false,2026-01-01,,
CONT-002,RetailMart Karachi,customer,021-34920002,orders@retailmart.pk,Karachi,NTN-2345678-1,false,2026-01-01,,
CONT-003,GreenEnergy Corp,vendor,042-34920003,billing@greenenergy.pk,Lahore,NTN-3456789-1,false,2026-01-01,,
CONT-004,Prime Traders,customer,051-34920004,info@primetraders.pk,Islamabad,NTN-4567890-1,false,2026-01-01,,

=== TABLE: FIXED ASSETS ===,,,,,,,,,,,
asset_id,asset_name,asset_category,purchase_cost,purchase_date,useful_life_years,depreciation_method,residual_value,current_book_value,status,
FA-001,Delivery Van,Vehicle,2500000.00,2025-01-15,10,declining_balance,250000.00,2000000.00,active,
FA-002,Office Computers,Computer/IT,800000.00,2025-06-01,5,straight_line,40000.00,600000.00,active,
