[AI ACCOUNTANT - EXPORT],,,,,,,,,,,
[Agent 1: DAILY ENTRY] ,,,,,,,,,,,
[Generated: 2026-07-31] ,,,,,,,,,,,

=== TABLE: CASH POSITION ===,,,,,,,,,,,
as_of_date,account_id,account_name,opening_balance,total_debits,total_credits,closing_balance,currency,status,,,
2026-07-31,1000-Cash,Cash on Hand,500000.00,150000.00,165000.00,485000.00,PKR,active,,,
2026-07-31,1100-Bank Account,Bank Account - HBL,2000000.00,850000.00,720000.00,2130000.00,PKR,active,,,

=== TABLE: BANK TRANSACTIONS ===,,,,,,,,,,,
transaction_id,date,description,amount,type,status,reference,balance_after,account_id,,,
BNK-202607-001,2026-07-05,HBL Payment - Rent,65000.00,debit,cleared,CHQ-101,1935000.00,1100-Bank Account,,,
BNK-202607-002,2026-07-10,HBL Receipt - RetailMart,250000.00,credit,cleared,INV-045,2185000.00,1100-Bank Account,,,
BNK-202607-003,2026-07-15,Utilities Bill Payment,12000.00,debit,cleared,,2173000.00,1100-Bank Account,,,
BNK-202607-004,2026-07-28,Bank Charges July,500.00,debit,cleared,,2172500.00,1100-Bank Account,,,
TOTAL,,,,327500.00,250000.00,,,,,

=== TABLE: PETTY CASH ===,,,,,,,,,,,
fund_id,fund_name,custodian,current_balance,currency,threshold,,transaction_id,date,description,amount,action
PC-001,Office Petty Cash,Ahmed Khan,13000.00,PKR,5000.00,,PCT-001,2026-07-28,Office tea & snacks,2000.00,expense

=== TABLE: RECEIPT EXTRACTIONS ===,,,,,,,,,,,
extraction_id,vendor_name,total_amount,date,currency,confidence,needs_approval,status,,,,
REC-20260728-001,Grocery Store,5000.00,2026-07-28,PKR,0.92,1,pending_approval,,,,
REC-20260729-002,Stationery Mart,1500.00,2026-07-29,PKR,0.90,1,pending_approval,,,,
